x,y,t
0.34090909090909094,0.9375,1778268307.4084165
0.37751976284584976,0.9375,1778268307.5474725
0.37234930830039525,0.9375,1778268307.6829097
0.2889685029644269,0.9375,1778268307.821019
0.24886624876482213,0.9375,1778268307.9591327
0.2894253214550396,0.9375,1778268308.106241
0.3614273210072876,0.978125,1778268308.248613
0.362863198716187,0.91109375,1778268308.3944776
0.36336575591430187,0.9224542410714287,1778268308.5373225
0.23551134790333905,0.9728589843750001,1778268308.6726508
0.2934679328051297,0.9905006445312501,1778268308.814464
0.3480695077070919,0.9560502255859376,1778268308.949353
0.3286425095156639,0.8975640075265068,1778268309.097338
0.3070703328759369,0.9235224026342774,1778268309.2423785
0.29438173113108385,0.934542364731521,1778268309.3814924
0.32462451498678835,0.9364648276560323,1778268309.5173397
0.339705536767115,0.8558876896796114,1778268309.65356
0.37774081138627685,0.868310691387864,1778268309.7984867
0.33902746580337867,0.8320337419857524,1778268309.939069
0.36401534425647897,0.9412118096950133,1778268310.0759163
0.31495477760439217,0.9794241333932546,1778268310.20924
0.2656689547702329,0.9927984466876392,1778268310.4873278
0.28256746750291484,0.9974794563406737,1778268312.8770316
0.3908569469593536,0.9991178097192358,1778268313.5928159
0.3187999314357738,0.9532626619731612,1778268313.867553
