x,y,t
0.3671255736337088,0.7897435897435897,1778951291.5049796
0.33499905281261444,0.7603388278388279,1778951291.8569734
0.3146455018177484,0.8161185897435899,1778951292.2085865
0.24554259230287856,0.8314748397435898,1778951292.5600455
0.3460439489226541,0.8678019081959707,1778951292.90791
0.2763028821229289,0.7858735250114468,1778951293.2555947
0.3808896822124129,0.828627162325435,1778951293.6021714
0.35577128182247286,0.870376649671045,1778951293.9488409
0.2635455588819631,0.8546318273848658,1778951294.2951565
0.23413717202378148,0.9325525121337226,1778951294.6423373
0.2401607761657703,0.8926812580346817,1778951294.9915483
0.3698018856931073,0.9624384403121387,1778951295.6847837
0.38981756475449236,0.582209185334545,1778951296.0420175
0.2296759435824397,0.7787732148670907,1778951296.3896039
0.31663285632138116,0.9225706252034818,1778951296.7389374
0.40139581285382736,0.5338646311019204,1778951297.7995105
0.396852321324394,0.44913332264005806,1778951298.1585877
0.41599581813247216,0.5875538057811632,1778951298.5064993
0.39869454747809063,0.7670074683870435,1778951298.8507233
0.3628627241124961,0.8766327609942888,1778951299.196934
0.33671893457144914,0.8665436885702233,1778951299.541382
0.42237811854765006,0.82019505290434,1778951299.883976
0.3794276918959902,0.8032447391047542,1778951300.2275429
0.25270709957100396,0.8498856586866639,1778951300.573141
0.34974637940767456,0.9149599805403323,1778951300.9167538
0.3581955465181763,0.9436450840982074,1778951301.2609088
0.45109411911230274,0.7151442004870041,1778951301.6053731
0.3557817410031996,0.8441423819351573,1778951301.951059
0.37730138712889766,0.5535380689714227,1778951302.3074932
